IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
193.123.36.83,443,443,true,FRA,Europe,Frankfurt,268,4.71
84.8.144.142,443,443,true,FRA,Europe,Frankfurt,205,4.69
158.101.209.242,443,443,true,FRA,Europe,Frankfurt,275,4.66
152.70.48.255,443,443,true,FRA,Europe,Frankfurt,266,4.60
141.144.242.57,443,443,true,FRA,Europe,Frankfurt,270,4.59
152.67.149.218,443,443,true,FRA,Europe,Frankfurt,315,4.58
141.147.52.148,443,443,true,FRA,Europe,Frankfurt,261,4.58
152.67.231.219,443,443,true,SJC,North America,San Jose,204,4.55
150.230.116.93,443,443,true,FRA,Europe,Frankfurt,310,4.54
141.147.86.105,443,443,true,FRA,Europe,Frankfurt,208,4.53
130.162.229.42,2053,443,true,FRA,Europe,Frankfurt,264,4.52
158.101.212.37,443,443,true,FRA,Europe,Frankfurt,266,4.50
141.144.229.199,443,443,true,FRA,Europe,Frankfurt,261,4.48
158.178.147.48,443,443,true,FRA,Europe,Frankfurt,299,4.47
143.47.189.210,443,443,true,FRA,Europe,Frankfurt,276,4.45
141.144.198.58,443,443,true,FRA,Europe,Frankfurt,274,4.44
144.24.161.142,8443,443,true,FRA,Europe,Frankfurt,197,4.42
158.101.175.51,8443,443,true,FRA,Europe,Frankfurt,192,4.40
141.144.194.164,443,443,true,FRA,Europe,Frankfurt,297,4.39
150.230.23.214,443,443,true,FRA,Europe,Frankfurt,261,4.38
158.101.192.181,443,443,true,AMS,Europe,Amsterdam,327,4.37
158.180.38.32,443,443,true,FRA,Europe,Frankfurt,270,4.36
158.101.203.166,443,443,true,FRA,Europe,Frankfurt,260,4.35
130.162.43.199,443,443,true,FRA,Europe,Frankfurt,265,4.31
144.24.173.250,2096,443,true,FRA,Europe,Frankfurt,255,4.30
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,255,4.23
152.70.57.165,443,443,true,FRA,Europe,Frankfurt,267,4.18
84.235.170.103,443,443,true,FRA,Europe,Frankfurt,293,4.17
158.178.150.121,443,443,true,FRA,Europe,Frankfurt,270,4.17
158.101.205.220,443,443,true,FRA,Europe,Frankfurt,344,4.17
141.144.195.21,443,443,true,FRA,Europe,Frankfurt,270,4.16
152.70.62.48,443,443,true,FRA,Europe,Frankfurt,367,4.14
144.21.60.249,443,443,true,FRA,Europe,Frankfurt,298,4.12
146.235.219.98,443,443,true,SJC,North America,San Jose,183,4.12
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,250,4.12
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,140,4.11
130.162.244.40,443,443,true,FRA,Europe,Frankfurt,262,4.08
152.70.55.95,443,443,true,FRA,Europe,Frankfurt,277,4.06
192.18.139.229,8443,443,true,SJC,North America,San Jose,208,4.01
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,238,3.99
141.147.115.254,443,443,true,FRA,Europe,Frankfurt,245,3.94
143.47.181.176,443,443,true,FRA,Europe,Frankfurt,265,3.93
84.235.166.173,443,443,true,FRA,Europe,Frankfurt,214,3.92
158.178.146.52,443,443,true,FRA,Europe,Frankfurt,263,3.90
144.24.173.250,8443,443,true,FRA,Europe,Frankfurt,269,3.87
193.123.61.90,443,443,true,FRA,Europe,Frankfurt,311,3.85
89.168.118.76,443,443,true,FRA,Europe,Frankfurt,247,3.79
150.230.121.161,443,443,true,FRA,Europe,Frankfurt,316,3.78
158.101.204.182,443,443,true,FRA,Europe,Frankfurt,274,3.78
158.101.219.66,443,443,true,FRA,Europe,Frankfurt,288,3.77
138.3.243.181,443,443,true,FRA,Europe,Frankfurt,281,3.75
130.61.64.65,443,443,true,FRA,Europe,Frankfurt,283,3.75
158.101.169.13,8443,443,true,FRA,Europe,Frankfurt,256,3.75
193.123.38.150,443,443,true,FRA,Europe,Frankfurt,279,3.74
152.70.50.110,443,443,true,FRA,Europe,Frankfurt,261,3.73
84.235.162.211,443,443,true,FRA,Europe,Frankfurt,276,3.72
193.123.58.6,443,443,true,FRA,Europe,Frankfurt,273,3.68
84.235.172.118,443,443,true,FRA,Europe,Frankfurt,273,3.66
158.180.25.74,443,443,true,FRA,Europe,Frankfurt,192,3.63
152.67.149.159,443,443,true,FRA,Europe,Frankfurt,287,3.63
144.21.55.5,443,443,true,FRA,Europe,Frankfurt,234,3.54
144.21.37.138,443,443,true,FRA,Europe,Frankfurt,268,3.51
